name,neighborhood,address,phone,reviews
Little Baobab,Mission,3380 19th St,(415) 643-3558,544
The House,North Beach/Telegraph Hill,1230 Grant Ave,(415) 986-8612,4354
Fog Harbor Fish House,Fisherman's Wharf,Pier 39,(415) 421-2442,4517
Gary Danko,Russian Hill,800 N Point St,(415) 749-2060,4874
Marlowe,Mission Bay,500 Brannan St,(415) 777-1413,2485
Frances,Castro,3870 17th St,(415) 621-3870,1416
Loló,Mission,974 Valencia St,(415) 643-5656,1868
Ushi Taro,Inner Sunset,1382 9th Ave,(415) 702-6014,39
Brenda’s French Soul Food,Tenderloin,652 Polk St,(415) 345-8100,9545
What The Cluck SF,The Haight,1782 Haight St,(415) 702-6777,53
Creator,SoMa,680 Folsom St,(806) 680-3657,64
Yo También Cantina,Inner Sunset,205 Hugo St,(628) 219-7622,15
Hops & Hominy,Union Square,1 Tillman Pl,(415) 373-6341,1879
Nopa,Alamo Square,560 Divisadero St,(415) 864-8643,4744
Van Ness Cafe & Gyros,Tenderloin,826 Van Ness Ave,(415) 589-7900,29
Foreign Cinema,Mission,2534 Mission St,(415) 648-7600,4464
Kokkari Estiatorio,Financial District,200 Jackson St,(415) 981-0983,4118
Tacorea,Lower Nob Hill,809 Bush St,(415) 885-1325,1216
Tropisueño,SoMa,75 Yerba Buena Ln,(415) 243-0299,3874
Hogwash,Union Square,582 Sutter St,(415) 361-5500,897
The Front Porch,Bernal Heights,65 29th St,(415) 695-7800,2546
Scoma’s Restaurant,Fisherman's Wharf,1965 Al Scoma Way,(415) 771-4383,3197
HRD,South Beach,521A 3rd St,(415) 473-4625,2343
Farmhouse Kitchen Thai Cuisine,Mission,710 Florida St,(415) 814-2920,1417
Wayfare Tavern,Financial District,558 Sacramento St,(415) 772-9060,3582
Kitchen Story,Castro,3499 16th St,(415) 525-4905,2618
The Codmother Fish and Chips,Fisherman's Wharf,496 Beach St,(415) 606-9349,2673
Sotto Mare Oysteria & Seafood,North Beach/Telegraph Hill,552 Green St,(415) 398-3181,3172
Zazie,Cole Valley,941 Cole St,(415) 564-5332,4000
Hi-Way Burger & Fry,Noe Valley,3853 24th St,(415) 641-6000,66
Straw,Hayes Valley,203 Octavia Blvd,(415) 431-3663,1646
Stones Throw,Russian Hill,1896 Hyde St,(415) 796-2901,837
Coqueta,Embarcadero,The Embarcadero,(415) 704-8866,1774
State Bird Provisions,Western Addition,1529 Fillmore St,(415) 795-1272,2453
La Fusión,Financial District,475 Pine St,(415) 781-0894,1061
Barbacco,Financial District,220 California St,(415) 955-1919,1506
Causwells,Marina/Cow Hollow,2346 Chestnut St,(415) 447-6081,618
Liholiho Yacht Club,Lower Nob Hill,871 Sutter St,(415) 440-5446,1857
Cha Cha Cha,The Haight,1801 Haight St,(415) 386-7670,3064
Hakkasan,Union Square,1 Kearny St,(415) 829-8148,1537
Prospect,SoMa,300 Spear St,(415) 247-7770,1478
Zero Zero,SoMa,826 Folsom St,(415) 348-8800,3005
Sumo,Inner Sunset,420 Judah St,(415) 481-5007,49
Kitchen Istanbul,Inner Richmond,349 Clement St,(415) 753-9479,412
MAC’D,Russian Hill,2127 Polk St,(415) 795-1026,46
Lolinda,Mission,2518 Mission St,(415) 550-6970,1718
La Mar Cebichería Peruana,Embarcadero,Pier 1 1/2 The Embarcadero,(415) 397-8880,3355
Oren’s Hummus,SoMa,71 3rd St,(415) 915-6736,93
Delfina,Mission,3621 18th St,(415) 552-4055,1945
Serpentine,Dogpatch,2495 3rd St,(415) 252-2000,1443
Akiko’s Restaurant,Financial District,431 Bush St,(415) 397-3218,1719
Surisan,Fisherman's Wharf,505 Beach St,(415) 771-8449,897
Blackwood,Marina/Cow Hollow,2150 Chestnut St,(415) 931-9663,1318
Starbelly,Castro,3583 16th St,(415) 252-7500,1627
Contigo,Noe Valley,1320 Castro St,(415) 285-0250,808
Lark,Castro,4068 18th St,(415) 400-4623,225
Burma Superstar,Inner Richmond,309 Clement St,(415) 387-2147,6207
Per Diem,Financial District,43 Sutter St,(415) 989-0300,648
Rich Table,Hayes Valley,199 Gough St,(415) 355-9085,1026
Boudin Bakery & Cafe,Fisherman's Wharf,160 Jefferson St,(415) 928-1849,2978
Zuni Café,Hayes Valley,1658 Market St,(415) 552-2522,2550
Absinthe Brasserie & Bar,Hayes Valley,398 Hayes St,(415) 551-1590,3107
L’ardoise Bistro,Duboce Triangle,151 Noe St,(415) 437-2600,1188
NoVY Restaurant,Noe Valley,4000 24th St,(415) 829-8383,341
House of Prime Rib,Nob Hill,1906 Van Ness Ave,(415) 885-4605,6452
Farallon,Union Square,450 Post St,(415) 956-6969,1495
Suppenküche,Hayes Valley,525 Laguna St,(415) 252-9289,2974
Son’s Addition,Mission,2990 24th St,(415) 500-2817,145
Tuba Authentic Turkish Restaurant,Mission,1007 Guerrero St,(415) 826-8822,900
Myriad Gastropub,Mission,2491 Mission St,(415) 525-4335,495
Rusty’s Southern,Tenderloin,750 Ellis St,(415) 638-6974,767
Kantine,Hayes Valley,1906 Market St,(415) 735-7123,48
Kin Khao,Union Square,55 Cyril Magnin St,(415) 362-7456,1581
Izakaya KOU,Western Addition,1560 Fillmore St,(415) 441-9294,671
3rd Cousin,Bernal Heights,919 Cortland Ave,(415) 814-3709,184
Seven Hills,Nob Hill,1550 Hyde St,(415) 775-1550,897
Nick’s Crispy Tacos,Russian Hill,1500 Broadway,(415) 409-8226,3118
Sons & Daughters,Union Square,708 Bush St,(415) 391-8311,625
Chow,Castro,215 Church St,(415) 552-2469,1896
Farm : Table,Lower Nob Hill,754 Post St,(415) 300-5652,1596
Padrecito,Cole Valley,901 Cole St,(415) 742-5505,753
Mangrove Kitchen,Lower Haight,312 Divisadero St,(415) 552-6881,53
SO,SoMa,1010 Bryant St,(415) 552-7676,1533
Limón Rotisserie,Mission,1001 S Van Ness Ave,(415) 821-2134,2967
El Techo,Mission,2516 Mission St,(415) 550-6970,1510
Eureka Restaurant & Lounge,Castro,4063 18th St,(415) 431-6000,588
Sauce - Belden,Financial District,56 Belden Pl,(415) 397-8800,607
Chez Maman East,Potrero Hill,1401 18th St,(415) 655-9542,1919
Cassava,Outer Richmond,3519 Balboa St,(415) 640-8990,763
Box Kitchen,SoMa,431 Natoma St,(415) 580-7170,701
Trestle,Financial District,531 Jackson St,(415) 772-0922,711
Palm House,Marina/Cow Hollow,2032 Union St,(415) 400-4355,636
Chapeau,Inner Richmond,126 Clement St,(415) 750-9787,2543
Sanraku,Lower Nob Hill,704 Sutter St,(415) 771-0803,1472
RM 212,Financial District,690 Sacramento St,(415) 500-2780,289
Little Skillet,Mission Bay,360 Ritch St,(415) 777-2777,1884
Blue Plate,Bernal Heights,3218 Mission St,(415) 282-6777,1320
Fable,Castro,558 Castro St,(415) 590-2404,416
Firefly Restaurant,Noe Valley,4288 24th St,(415) 821-7652,1397
Delicious Dim Sum,Chinatown,752 Jackson St,(415) 781-0721,825
OzaOza,Japantown,1700 Post St,(415) 674-4400,80
Nightbird,Hayes Valley,330 Gough St,(415) 829-7565,108
The Spice Jar,Mission,2500 Bryant St,(415) 829-3668,294
Dumpling Kitchen,Parkside,1935 Taraval St,(415) 682-8938,1267
Spruce,Presidio Heights,3640 Sacramento St,(415) 931-5100,1764
Monsieur Benjamin,Hayes Valley,451 Gough St,(415) 403-2233,809
Huli Huli Hawaiian Grill,Bayview-Hunters Point,4100 3rd St,(415) 970-1990,232
San Tung,Inner Sunset,1031 Irving St,(415) 242-0828,6157
Birdsong,SoMa,1085 Mission St,(415) 369-9161,73
Cockscomb,Mission Bay,564 4th St,(415) 974-0700,1013
El Farolito,Mission,2779 Mission St,(415) 824-7877,4457
La Ciccia,Glen Park,291 30th St,(415) 550-8114,1016
āina,Potrero Hill,900 22nd St,(415) 814-3815,856
Tataki,Lower Pacific Heights,2827 California St,(415) 931-1182,1173
Barcha,Financial District,28 Fremont St,(415) 957-5463,320
Ichido,SoMa,687 Minna St,(415) 484-2477,79
Saigon Sandwich,Tenderloin,560 Larkin St,(415) 474-5698,3040
The Bird,Financial District,115 New Montgomery St,(415) 872-9825,1020
Pacific Eatery,Russian Hill,977 N Point St,(415) 834-5687,37
INDO,Castro,4039 18th St,(415) 346-9700,48
Urban Tavern,Union Square,333 O'Farrell St,(415) 923-4400,157
Le P’tit Laurent,Glen Park,699 Chenery St,(415) 334-3235,703
Hillstone,North Beach/Telegraph Hill,1800 Montgomery St,(415) 392-9280,2023
Chubby Noodle,Marina/Cow Hollow,2205 Lombard St,(415) 655-3335,542
Barrel Head Brewhouse,NoPa,1785 Fulton St,(415) 416-6989,485
Benu,Financial District,22 Hawthorne St,(415) 685-4860,956
Ryoko’s,Lower Nob Hill,619 Taylor St,(415) 775-1028,2643
Izakaya Sozai,Inner Sunset,1500 Irving St,(415) 742-5122,1967
Sam Wo Restaurant,Chinatown,713 Clay St,(415) 989-8898,818
Piccino,Potrero Hill,1001 Minnesota St,(415) 824-4224,1301
Anchor Oyster Bar,Castro,579 Castro St,(415) 431-3990,1369
Bluestem Brasserie,Union Square,One Yerba Buena Ln,(415) 547-1111,1553
Lime Tree Southeast Asian Kitchen,Inner Sunset,450 Irving St,(415) 665-1415,1427
Grill Spot,Outer Richmond,2311 Clement St,(415) 571-8201,115
Lupa Trattoria,Noe Valley,4109 24th St,(415) 282-5872,591
Hard Knox Cafe,Potrero Hill,2526 3rd St,(415) 648-3770,2018
Mensho Tokyo,Lower Nob Hill,672 Geary St,(415) 800-8345,1568
Bouche,Union Square,603 Bush St,(415) 956-0396,698
Hinodeya Ramen Bar,Japantown,1737 Buchanan St,(415) 757-0552,695
Mac Daddy,Potrero Hill,1453 18th St,(415) 872-6670,423
Mama’s On Washington Square,North Beach/Telegraph Hill,1701 Stockton St,(415) 362-6421,3911
Buffalo Theory,Nob Hill,1735 Polk St,(415) 829-8226,229
District San Francisco,Mission Bay,216 Townsend St,(415) 896-2120,1073
The Pink Elephant Alibi,Financial District,142 Minna St,(415) 918-5642,922
Outerlands,Outer Sunset,4001 Judah St,(415) 661-6140,2105
Buttermilk Southern Kitchen,Mission,2848 23rd St,(415) 341-1031,540
Beretta,Mission,1199 Valencia St,(415) 695-1199,3291
Italian Homemade Company,Russian Hill,716 Columbus Ave,(415) 712-8874,1105
Nojo Ramen Tavern,Hayes Valley,231 Franklin St,(415) 896-4587,549
Hotbird,Presidio,Off the Grid Presidio Picnic,(510) 917-0484,28
Tín Vietnamese Cuisine,SoMa,937 Howard St,(415) 882-7188,1116
Trattoria Contadina,Russian Hill,1800 Mason St,(415) 982-5728,1204
Sweet Maple,Lower Pacific Heights,2101 Sutter St,(415) 655-9169,3028
HoDaLa,Outer Richmond,5801 Geary Blvd,(415) 702-9510,199
The Castro Republic,Castro,2295 Market St,(415) 934-0525,263
No.1 SF BBQ,Inner Richmond,939 Clement St,(415) 819-3920,39
Old Skool Cafe,Bayview-Hunters Point,1429 Mendell St,(415) 822-8531,470
1760,Nob Hill,1760 Polk St,(415) 359-1212,656
Original Joe’s,North Beach/Telegraph Hill,601 Union St,(415) 775-4877,1142
Brenda’s Meat & Three,NoPa,919 Divisadero St,(415) 926-8657,823
Park Tavern,North Beach/Telegraph Hill,1652 Stockton St,(415) 989-7300,1463
Thanh Long,Outer Sunset,4101 Judah St,(415) 665-1146,2341
The Italian Homemade Company,Marina/Cow Hollow,1919 Union St,(415) 655-9325,683
Bar Crudo,NoPa,655 Divisadero St,(415) 409-0679,1786
Nopalito,Lower Haight,306 Broderick St,(415) 535-3969,1728
Izakaya Yoki,Lower Nob Hill,900 Bush St,(415) 923-1141,59
West of Pecos,Mission,550 Valencia St,(415) 252-7000,846
Boulevard,Financial District,1 Mission St,(415) 543-6084,2506
Don Pisto’s,North Beach/Telegraph Hill,510 Union St,(415) 395-0939,1691
Chong Qing Xiao Mian,Chinatown,915 Kearny St,(415) 983-0888,501
Lord George,South Beach,555 2nd St,(415) 660-7633,231
Mystic Room + Tavern,Union Square,417 Stockton St,(415) 400-0561,54
Scopo Divino,Pacific Heights,2800 California St,(415) 928-3728,162
Dabba,Marina/Cow Hollow,2240 Chestnut St,(415) 236-3984,37
Cuisine of Nepal,Bernal Heights,3486 Mission St,(415) 647-2222,387
The Cavalier,Union Square,360 Jessie St,(415) 321-6000,925
Destino,Mission,1815 Market St,(415) 552-4451,1160
Basil Thai Restaurant & Bar,SoMa,1175 Folsom St,(415) 552-8999,1405
Tastebuds,Inner Richmond,600 5th Ave,(415) 668-9298,38
Souvla,Hayes Valley,517 Hayes St,(415) 400-5458,1073
Garaje,South Beach,475 3rd St,(415) 644-0838,1387
PPQ Dungeness Island,Outer Richmond,2332 Clement St,(415) 386-8266,2817
Okane,Mission Bay,669 Townsend St,(415) 865-9788,264
Good Mong Kok Bakery,Chinatown,1039 Stockton St,(415) 397-2688,2143
Wooden Spoon,Duboce Triangle,2172 Market St,(415) 946-3005,91
Muracci’s Japanese Curry & Grill,Chinatown,307 Kearny St,(415) 773-1101,1603
Woodhouse Fish,Castro,2073 Market St,(415) 437-2722,1569
